Item_Weight,Item_Fat_Content,Item_Visibility,Item_Type,Item_MRP,Outlet_Size,Outlet_Location_Type,Outlet_Type,Item_Category,Item_Outlet_Sales
20.75,Low Fat,0.007564836,Snack Foods,107.8622,1,Tier 1,Supermarket Type1,FD,-64.890816
8.3,Regular,0.038427677,Dairy,87.3198,2,Tier 2,Supermarket Type1,FD,-45.134285
14.6,Non-Edible,0.099574908,Others,241.7538,2,Tier 3,Grocery Store,NC,653.6019
7.315,Low Fat,0.015388393,Snack Foods,155.034,2,Tier 2,Supermarket Type1,FD,-37.608574
8.93,Regular,0.118599314,Dairy,234.23,1,Tier 3,Supermarket Type3,FD,-14.782046
9.8,Regular,0.063817206,Fruits and Vegetables,117.1492,0,Tier 1,Supermarket Type1,FD,-125.97979
19.35,Regular,0.082601537,Baking Goods,50.1034,1,Tier 3,Supermarket Type2,FD,-23.91515
12.987879554655919,Low Fat,0.015782495,Baking Goods,81.0592,1,Tier 3,Supermarket Type3,FD,-10.174335
6.305,Regular,0.12336544599999999,Snack Foods,95.7436,2,Tier 2,Supermarket Type1,FD,-45.134285
5.985,Low Fat,0.005698435,Baking Goods,186.8924,2,Tier 2,Supermarket Type1,FD,-37.608574
16.6,Low Fat,0.103569075,Fruits and Vegetables,118.3466,2,Tier 2,Supermarket Type1,FD,-55.58394
6.59,Low Fat,0.10581147,Fruits and Vegetables,85.3908,2,Tier 2,Supermarket Type1,FD,-55.58394
15.1,Non-Edible,0.171079215,Health and Hygiene,240.4196,0,Tier 1,Grocery Store,NC,626.4032
4.785,Low Fat,0.092737611,Breads,122.3098,1,Tier 1,Supermarket Type1,FD,816.61115
16.75,Low Fat,0.021206463999999998,Hard Drinks,52.0298,2,Tier 3,Supermarket Type1,DR,-41.108757
6.135,Regular,0.0794507,Baking Goods,151.6366,1,Tier 1,Supermarket Type1,FD,-108.00443
19.85,Low Fat,0.05413521,Seafood,198.7768,2,Tier 2,Supermarket Type1,FD,-37.608574
17.85,Low Fat,0.037980963,Soft Drinks,192.2188,1,Tier 3,Supermarket Type2,DR,-13.254256
11.400327868852452,Non-Edible,0.028184344,Household,109.6912,1,Tier 3,Supermarket Type3,NC,626.4032
13.6,Low Fat,0.196897637,Snack Foods,193.7136,2,Tier 3,Grocery Store,FD,29.38472
7.1,Low Fat,0.109920138,Fruits and Vegetables,175.00799999999998,2,Tier 3,Supermarket Type1,FD,-55.58394
19.2,Non-Edible,0.182619235,Others,239.9196,0,Tier 2,Supermarket Type1,NC,578.3331
13.65,Low Fat,0.06563084400000001,Frozen Foods,47.7402,0,Tier 1,Supermarket Type1,FD,-64.890816
12.277108208955255,Non-Edible,0.027447057,Others,142.347,0,Tier 1,Grocery Store,NC,626.4032
19.2,Low Fat,0.035178935,Snack Foods,180.7318,0,Tier 2,Supermarket Type1,FD,-64.890816
6.785,Regular,0.038455125,Snack Foods,209.4928,2,Tier 3,Grocery Store,FD,81.60658
13.0,Non-Edible,0.035102094,Household,47.6034,0,Tier 2,Supermarket Type1,NC,578.3331
5.825,Non-Edible,0.09148523199999999,Household,161.3894,0,Tier 1,Supermarket Type1,NC,578.3331
13.8,Low Fat,0.058102469000000004,Dairy,244.6802,0,Tier 1,Supermarket Type1,DR,-62.24555
